"initials","group","text","timestamp","extracted_locations","extracted_species","extracted_gear","extracted_activity","extracted_time","extracted_mention","reviewer"
"Q",1," Great, thank you so much. And now we are recording officially. And I would just like to start with how do you like to introduce yourself?","[00:00]","","","","","","",""
"A",2," So I'm Holly Masterson from Southwest Harbor and I'm from there. So I grew up right in Southwest. I was born in Ellsworth. I grew up right on the shore in Southwest Harbor. Literally my bedroom looks over the harbor. So I would wake up as a small child to clammers, and to the worm diggers, and everyone just – I mean that was my morning. The sun shining through my window and then these guys down on the flats. And you can't actually harvest anything in the harbor anymore. So it seems like eons ago at this point. But, yeah. And about to be 44 so that was a while ago and yeah, that's where I grew up. So that's sort of the basis for who I am. And what I've been doing is that I grew up right there on the harbor and did a few things in between, but found myself working on the boat when I was 14. Yeah.","[00:06]","Southwest Harbor, harbor","","","","44, 14","44, 14",""
"Q",3," Wow.","[00:58]","","","","","","",""
"A",4," Yeah. And my parents had a fish market. So when I was in seventh grade, sixth grade they started that. And my stepfather had two boats, so he would go out fishing and he'd be gone for seven days at a time. He'd come into the marina in Southwest, and we'd get the fish. We'd bring them up to the fish market which was only about a half mile away. And my great Aunt Connie would show up. And she was sort of the skilled elder of the area. So she would come and teach everybody how to fillet the fish, and she's been gone for a long time. So I have pictures of that, and it was really great to have her – those memories of her in the fish market, filleting the fish, talking about the corn hake, and how they used to drive fish back in the day, and how important that was to everybody. You know, that was a huge source of protein for them. So that's sort of what started my life into the fishing world is that I was about 12 when my mom got together with my – he's been my dad. I've been fishing with him for 20 years but – so I was young. And then I would – when I got my license I would go down to the boat for him and I'd clean up the boat. He, you know, come in, unload the fish. The boat would be a disaster. I'd go down. I'd clean up what I could. I'd – they'd leave me a grocery list. And then I'd come over here to Bar Harbor, and I'd go to Hannaford, and I think it was Shop and Save at that point. , But I'd get whatever they wanted on the boat. I'd restock for them. I'd just kind of spruce it up, because they were usually only in port for like a day or two and then they turn around and go back right back out and do that. So that was their opportunity to go play golf, and take a real shower, and relax and do a little laundry and just sort of reconnect. And then that – I was sort of that piece of helping put the boat back out to sea. So I started that when I was 15 – 14, 15 of doing that.","[00:59]","Bar Harbor","","","fish, fishing","12, 20, 15, 14","two, seven, 12, 20, 15, 14",""
"Q",5," Wow. And we've sort of talked about where you grew up, but where are your parents from? You mentioned the fish market. But (inaudible; overlapping dialogue).","[02:52]","","","","fish","","",""
"A",6," Yeah, so my mom is from here. She's worked in boat yards her whole life. And then when we had the fish market she obviously did that for many years. My father is actually from Salem, Massachusetts, my biological father. And I have a great, great, great grandfather that is on the wall in Gloucester for being lost at sea. So really kind of strong heritage for me because I've now been fishing out of Gloucester. I've been to that port. I've gone through that breakwater. I've been on those same banks that he was fishing on. So that was a huge moment for me many years ago when I did that because, not only was I the only woman out there – I mean I'm out there. You're literally – you're looking back. You can see Boston in the distance. You can – you know where Gloucester is because there's the lighthouse, and you know where that is. But you're looking around. And you literally see – there's whales breaching right next to us. There are maybe 35, 40 boats and I knew I was the only woman out there. So I had this like really weird just realization of life of, like what the hell am I doing out here. Like is this really like what I should be doing? But it almost came easy to me, and I feel like that's – I'm not trying to like be egotistical about that, but it's like, I think women being on the boat in that sort of situation, like – it's not even that we have something to prove, it's just I had built up such an endurance to be on the boat, and like there was – I didn't – I wasn't into drugs. I wasn't into like this partying lifestyle. I was just really focused on being there and making money. And it was just such a spiritual experience for me to be doing that and being able to be like here in an interview right now, knowing that I sort of helped pave the way, , because I know there are now more women out there, and I'm friends with them on Facebook. I see their post and their Instagram like stories and stuff, and I'm just like, good for you. Like there you go. Like there are women that have been out there and that's something that's been – like knowing that my dad was from the area and that I had that connection was huge. But Dave, who is my captain and my stepfather, is actually from Atlantic City. So he came up here when he was 11 to fish, and then my mom and him got together when I was, yeah, in junior high. So I kind of have the three part trifecta of all of them, which was pretty important. My mom the boat builder. You know, Dave, the guy from Atlantic City that was very business oriented and was very inspired by the fishing community in Atlantic City, so when he came here that's immediately what he started doing when he was 11 and 12. And then my dad's connection to the area of Gloucester, which is so incredible and in very spiritual to be part of that. Yeah","[03:00]","Massachusetts","whale","","fish, fishing, weir","may, 35, 40, 11, 12","35, 40, 11, three, 12",""
"Q",7," Yeah. And what year were you born in?","[05:45]","","","","","","",""
"A",8," So 1980.","[05:47]","","","","","1980","",""
"Q",9," 1980. Great. And do you have any siblings?","[05:49]","","","","","1980","",""
"A",10," I do not. Yeah. I'm an only child, so sort of got to be an only child until my mom and Dave got together. And then he had older daughter, so she was a senior when I was a freshman that was fun. (laughter) Got to have sort of a little bit of a sibling for a short period of time in my life. But yeah. I'm an only child.","[05:51]","","","","","","",""
