Common name,Scientific name,Regular expression
lobster,Homarus americanus,lobster
scallop,Placopecten magellanicus,scallop
sardine,Clupea harengus,sardine
herring,Clupea harengus,herring
starfish,"Asterias forbesi, Asterias rubens",starfish
sea star,"Asterias forbesi, Asterias rubens",sea star
forbes starfish,Asterias forbesi,forbes starfish
northern starfish,Asterias rubens,northern starfish
mackerel,Scomber scombus,mackerel
caballa,Scomber scombus,caballa
salmon,Salmo salar,salmon
menhaden,Brevoortia tyrannus,menhaden
pogies,Brevoortia tyrannus,pogies
pogey,Brevoortia tyrannus,pogey
bunker,Brevoortia tyrannus,bunker
massbunker,Brevoortia tyrannus,massbunker
mossbunker,Brevoortia tyrannus,mossbunker
alewife,Alosa pseudoharengus,alewife
tuna,Thunnus thynnus,tuna
bluefin,Thunnus thynnus,bluefin
groundfish,"Gadus morhua, Melanogrammus aeglefinus, Limanda ferruginea, Pollachius virens, Hippoglossiodes platessoides, Glyptocephalus cynoglossus, Urophycis tenuis, Scophthalmus aquosus, Psuedopleronectes americanus, Sebastes fasciatus, Hippoglossus hippoglosus, Anarhichas lupus, Macrozoarces americanus. Microgadus tomcod",groundfish
cod,Gadus morhua,\\bcod\\b
tomcod,Microgadus tomcod,tomcod
halibut,Hippoglossus hippoglossus,halibut
hake,Urophycis tenuis,\\bhake\\b
haddock,Melanogrammus aeglefinus,haddock
flounder,"Limanda ferruginea, Pseudopleuronectes americanus, Gluptocephalus cynoglossus, Schophthalmus aquosus",flounder
pollock,Pollachius virens,pollock
plaice,Hippoglossoides platessoides,plaice
winter flounder ,Pseudopleuronectes americanus,winter flounder 
yellowtail flounder,Limanda ferruginea,yellowtail flounder
witch flounder,Gluptocephalus cynoglossus,witch flounder
windowpane flounder,Schophthalmus aquosus,windowpane flounder
redfish,Sebastes fasciatus,redfish
pout,Macrozoarces americanus,\\bpout\\b
monkfish,Lophius americanus,monkfish
goosefish,Lophius americanus,goosefish
monktails,Lophius americanus,monktails
angler,Lophius americanus,angler
molligut,Lophius americanus,molligut
dogfish,Squalus acanthias,dogfish
bluefish,Pomatomus saltatrix,bluefish
stripers,Morone saxatilis,stripers
bass,Morone saxatilis,\\bbass\\b
rockfish,Morone saxatilis,rockfish
linesider,Morone saxatilis,linesider
oyster,Crassostera virginica,oyster
