date_mdy,month,journal_entry,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,transcription,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,second_check,journal,transcription_accuracy,...1
12/23/1871,December,Was married at home in evening by William Rand Esqr.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Esqr? Esquire,WD,1,NA,NA
12/24/1871,December,Went to meeting.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,to?,NA,1,NA,NA
12/25/1871,December,Shooting match all day in the evening to Christmas tree at the Hall.,Winter Harbor,NA,Hall,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Christmas tree?,WD,1,NA,NA
12/26/1871,December,About home at work fobbing.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/27/1871,December,Work about home reed letter from N. H. Higgins Ins agt.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Check abbreviation. Name? Insurance Agreement (Ins agt?) or Ins agent?,WD,1,NA,NA
12/28/1871,December,Work about home.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/29/1871,December,To work in shop.,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/30/1871,December,To work in shop.,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
12/31/1871,December,Went to meeting.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/1/1872,January,Work in shop.,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
